id,start_timestamp,end_timestamp,location,camera,message,segment,time_range,duration_sec,time_sec,water_flood,fire,abnormal_attire_face_cover_at_entry,person_fallen_unmoving,double_parking_lane_block,smoking_outside_zone,crowd_loitering,security_door_tamper,event_reason,created_at,updated_at
1,2025-12-20T00:00:00,2025-12-20T00:00:10,,,畫面中有一輛藍色貨車正駛離路口，車身上有紅色和白色標誌。路口有綠色和白色斑馬線，兩側停有幾輛機車。背景中，幾名施工人員在進行工作，其中一名穿著紅色上衣，戴著安全帽。天氣晴朗，光線充足。路口設有交通燈和路障，交通狀況正常。,segment_0000.mp4,00:00:00 - 00:00:10,10.0,5.16,f,f,f,f,f,f,f,f,,2025-12-20T23:42:07.244029,2025-12-20T23:42:07.244030
2,2025-12-20T00:00:10,2025-12-20T00:00:20,,,畫面中有一輛黑色SUV車輛由右向左通過路口，兩名騎著機車的行人在綠色斑馬線上等待過街，機車停在路邊。背景中有一棟建築物，建築物前有幾棵樹和一些綠化帶。路口設有交通燈，目前紅燈亮起。地面上有標誌和標線，顯示行車方向和停車區。天氣晴朗，光線充足。,segment_0001.mp4,00:00:10 - 00:00:20,10.0,5.32,f,f,f,f,f,f,f,f,,2025-12-20T23:42:07.245209,2025-12-20T23:42:07.245209
3,2025-12-20T00:00:20,2025-12-20T00:00:30,,,畫面中有一名穿白色上衣和深色褲子的行人從左側人行橫道過街，一名穿藍色工作服的施工人員站在人行橫道旁。路邊停有幾輛機車，其中一輛機車駕駛員穿白色安全帽和深色服裝。道路標誌清晰，交通順暢，無明顯異常。,segment_0002.mp4,00:00:20 - 00:00:30,10.0,5.26,f,f,f,f,f,f,f,f,,2025-12-20T23:42:07.245260,2025-12-20T23:42:07.245261
4,2025-12-20T00:00:30,2025-12-20T00:00:40,,,2025年9月22日上午10:00，一輛機車停在路邊，一名穿白上衣的行人從斑馬線過街，另一名穿深色衣服的行人背對著攝像頭。環境中有一輛藍色貨車和多個電箱，天氣晴朗，光線充足。,segment_0003.mp4,00:00:30 - 00:00:40,10.0,5.02,f,f,f,f,f,f,f,f,,2025-12-20T23:42:07.245302,2025-12-20T23:42:07.245302
5,2025-12-20T00:00:40,2025-12-20T00:00:50,,,2025年9月22日上午10時，一輛機車駛向人行橫道，一名男子步行過街。機車停在路邊，一名男子騎著機車穿過人行橫道。背景中，一輛白色小客車由右向左通過，路邊停有數輛機車。環境晴朗，道路標誌清晰，交通順暢。,segment_0004.mp4,00:00:40 - 00:00:50,10.0,4.95,f,f,f,f,f,f,f,f,,2025-12-20T23:42:07.245342,2025-12-20T23:42:07.245342
6,2025-12-20T00:00:50,2025-12-20T00:01:00,,,畫面中有一名穿著深色衣服的行人從左側人行道上經過，背景有綠色植被和建築物。路邊停有幾輛機車，其中一輛機車上有人。道路標誌清晰，標誌顯示為「停車區」。時間顯示為2025年9月22日上午10:01:01。,segment_0005.mp4,00:00:50 - 00:01:00,10.0,5.39,f,f,f,f,f,f,f,f,,2025-12-20T23:42:07.245382,2025-12-20T23:42:07.245382
7,2025-12-20T00:01:00,2025-12-20T00:01:10,,,畫面中無明顯事件發生。天氣晴朗，光線充足。道路兩側有綠化帶和樹木，標誌清晰。左側有三名身穿藍色工作服的施工人員，右側停有數輛機車。道路順暢，無異常行為。,segment_0006.mp4,00:01:00 - 00:01:10,10.0,5.07,f,f,f,f,f,f,f,f,,2025-12-20T23:42:07.245421,2025-12-20T23:42:07.245422
8,2025-12-20T00:01:10,2025-12-20T00:01:20,,,畫面中有一輛藍色小客車停在道路邊緣，車上有人員。道路旁有幾輛機車停在圍欄後。左側有三名穿著藍色工作服的施工人員，其中一人戴著安全帽。背景中有一座建築物，建築物前有綠色樹木和交通標誌。道路標誌清晰，交通順暢，無異常。,segment_0007.mp4,00:01:10 - 00:01:20,10.0,5.26,f,f,f,f,f,f,f,f,,2025-12-20T23:42:07.245466,2025-12-20T23:42:07.245466
9,2025-12-20T00:01:20,2025-12-20T00:01:30,,,2025年9月22日上午10:01，畫面顯示一處城市路口。綠色植被和建築物周圍，道路標誌清晰。一名穿藍色工作服的施工人員在左側，一輛白色小客車由右向左通過，一輛紅色機車停在路邊。交通順暢，無異常。,segment_0008.mp4,00:01:20 - 00:01:30,10.0,5.04,f,f,f,f,f,f,f,f,,2025-12-20T23:42:07.245509,2025-12-20T23:42:07.245509
10,2025-12-20T00:01:30,2025-12-20T00:01:40,,,2025年9月22日上午10:01，一輛白色巴士駛過斑馬線，一名男子戴口罩在斑馬線上行走。路邊停有幾輛機車，環境晴朗，道路兩側有綠化帶和電箱。,segment_0009.mp4,00:01:30 - 00:01:40,10.0,4.54,f,f,t,f,f,f,f,f,abnormal_attire_face_cover_at_entry: 有人臉部被口罩遮擋，但仍嘗試通行,2025-12-20T23:42:07.245548,2025-12-20T23:42:07.245549
